GUID,GEOGDESC,Speakers2006,Speakers2011,Speakers2016,Speakers2022
2ae19629-2326-13a3-e055-000000000001,STRADBALLY,0.5698267074413863,0.5412280701754386,0.5389221556886228,0.55
2ae19629-2340-13a3-e055-000000000001,TULLOKYNE,0.6174334140435835,0.6321961620469083,,0.5912408759124088
2ae19629-205e-13a3-e055-000000000001,BALLINASTACK,0.4645161290322581,0.4031746031746032,0.3630573248407643,0.4106583072100313
2ae19629-207e-13a3-e055-000000000001,BALLYMOE,0.4344660194174757,0.5466321243523317,0.45569620253164556,0.43646408839779005
2ae19629-208d-13a3-e055-000000000001,BALLYNAKILL,0.518348623853211,0.4752475247524752,0.4383561643835616,0.4253164556962025
2ae19629-20a7-13a3-e055-000000000001,BOYOUNAGH,0.4732824427480916,0.532258064516129,0.5551020408163265,0.3974358974358974
2ae19629-22f0-13a3-e055-000000000001,CREGGS,0.5104166666666666,0.41359773371104813,0.3879310344827586,0.40762463343108507
2ae19629-22ff-13a3-e055-000000000001,CURRAGHMORE,0.4226190476190476,0.37012987012987014,0.4125,0.37158469945355194
2ae19629-233a-13a3-e055-000000000001,GLENNAMADDY,0.4528985507246377,0.437046004842615,0.4073604060913706,0.4206257242178447
2ae19629-236a-13a3-e055-000000000001,ISLAND,0.48188405797101447,0.49458483754512633,0.45041322314049587,0.4723404255319149
2ae19629-23a3-13a3-e055-000000000001,KILCROAN,0.5114942528735632,0.5224719101123596,0.491362763915547,0.4851301115241636
2ae19629-234a-13a3-e055-000000000001,KILTULLAGH,0.4342857142857143,0.3817204301075269,0.37264150943396224,0.43564356435643564
2ae19629-22f9-13a3-e055-000000000001,RAHEEN,0.3382978723404255,0.3811563169164882,0.3530751708428246,0.38832997987927564
2ae19629-2308-13a3-e055-000000000001,SCREGG,0.5141509433962265,0.5339366515837104,0.5429864253393665,0.5384615384615384
2ae19629-230a-13a3-e055-000000000001,SHANKILL,0.4602076124567474,0.46236559139784944,0.43727598566308246,0.43788819875776397
2ae19629-2328-13a3-e055-000000000001,TEMPLETOGHER,0.4765432098765432,0.5013123359580053,0.4368131868131868,0.4780361757105943
2ae19629-2335-13a3-e055-000000000001,TOBERROE,0.43278688524590164,0.4694533762057878,0.46735395189003437,0.3835616438356164
2ae19629-205a-13a3-e055-000000000001,ARDAMULLIVAN,0.45719489981785066,0.45080500894454384,0.43286219081272087,0.43084260731319557
2ae19629-205b-13a3-e055-000000000001,ARDRAHAN,0.5043668122270742,0.4697855750487329,0.4888475836431227,0.42678571428571427
2ae19629-2074-13a3-e055-000000000001,BALLYCAHALAN,0.46153846153846156,0.3526570048309179,0.38571428571428573,0.45098039215686275
2ae19629-2099-13a3-e055-000000000001,BEAGH,0.43804537521815007,0.46808510638297873,0.4307458143074581,0.49324324324324326
